WORD,NUMBER OF HITS,NUMBER OF ANSWERS
which,0,5
german,1,5
cities,0,5
have,0,5
more,0,5
than,0,5
250000,3,5
inhabitants,0,5
,,
,,
who,0,2
was,0,2
the,0,2
successor,0,2
of,0,2
john,0,2
f.,0,2
kennedy,0,2
,,
,,
who,0,2
is,0,2
the,0,2
mayor,0,2
of,0,2
berlin,0,2
,,
,,
how,0,2
many,0,2
students,0,2
does,0,2
the,0,2
free,0,2
university,0,2
in,0,2
amsterdam,0,2
have,0,2
,,
,,
what,0,2
is,0,2
the,0,2
second,0,2
highest,0,2
mountain,0,2
on,0,2
earth,0,2
,,
,,
give,0,7
me,0,7
all,0,7
professional,0,7
skateboarders,0,7
from,0,7
sweden,0,7
,,
,,
when,0,2
was,0,2
alberta,0,2
admitted,0,2
as,0,2
province,0,2
,,
,,
to,0,2
which,0,2
countries,0,2
does,0,2
the,0,2
himalayan,0,2
mountain,0,2
system,0,2
extend,0,2
,,
,,
give,0,4
me,0,4
a,0,4
list,0,4
of,0,4
all,0,4
trumpet,0,4
players,0,4
that,0,4
were,0,4
bandleaders,0,4
,,
,,
what,0,2
is,0,2
the,0,2
total,0,2
amount,0,2
of,0,2
men,0,2
and,0,2
women,0,2
serving,0,2
in,0,2
the,0,2
fdny,0,2
,,
,,
who,0,2
is,0,2
the,0,2
formula,0,2
1,0,2
race,0,2
driver,0,2
with,0,2
the,0,2
most,0,2
races,0,2
,,
,,
give,0,2
me,0,2
all,0,2
world,0,2
heritage,0,2
sites,0,2
designated,0,2
within,0,2
the,0,2
past,0,2
five,0,2
years,0,2
,,
,,
who,0,4
is,0,4
the,0,4
youngest,0,4
player,0,4
in,0,4
the,0,4
premier,0,4
league,0,4
,,
,,
give,0,2
me,0,2
all,0,2
members,0,2
of,0,2
prodigy,1,2
,,
,,
what,0,2
is,0,2
the,0,2
longest,0,2
river,0,2
,,
,,
does,0,4
the,0,4
new,0,4
battlestar,0,4
galactica,0,4
series,0,4
have,0,4
more,0,4
episodes,0,4
than,0,4
the,0,4
old,0,4
one,0,4
,,
,,
give,0,9
me,0,9
all,0,9
cars,0,9
that,0,9
are,0,9
produced,0,9
in,0,9
germany,0,9
,,
,,
give,0,4
me,0,4
all,0,4
people,0,4
that,0,4
were,0,4
born,0,4
in,0,4
vienna,1,4
and,0,4
died,0,4
in,0,4
berlin,0,4
,,
,,
how,0,2
tall,0,2
is,0,2
michael,0,2
jordan,0,2
,,
,,
what,0,2
is,0,2
the,0,2
capital,0,2
of,0,2
canada,0,2
,,
,,
who,9,3
is,0,3
the,0,3
governor,0,3
of,0,3
texas,7,3
,,
,,
do,0,4
harry,0,4
and,0,4
william,,0,4
princes,0,4
of,0,4
wales,,0,4
have,0,4
the,0,4
same,0,4
mother,0,4
,,
,,
who,0,2
was,0,2
the,0,2
father,0,2
of,0,2
queen,0,2
elizabeth,0,2
ii,0,2
,,
,,
which,0,2
u.s.,0,2
state,0,2
has,0,2
been,0,2
admitted,0,2
latest,0,2
,,
,,
how,0,2
many,0,2
official,0,2
languages,0,2
are,0,2
spoken,0,2
on,0,2
the,0,2
seychelles,2,2
,,
,,
sean,0,3
parnell,0,3
is,0,3
the,0,3
governor,0,3
of,0,3
which,0,3
u.s.,0,3
state,0,3
,,
,,
give,0,3
me,0,3
all,0,3
movies,0,3
directed,0,3
by,0,3
francis,0,3
ford,0,3
coppola,0,3
,,
,,
give,0,6
me,0,6
all,0,6
actors,0,6
starring,0,6
in,0,6
movies,0,6
directed,0,6
by,0,6
and,0,6
starring,0,6
william,0,6
shatner,4,6
,,
,,
what,0,2
is,0,2
the,0,2
birth,0,2
name,0,2
of,0,2
angela,0,2
merkel,1,2
,,
,,
give,0,3
me,0,3
all,0,3
current,0,3
methodist,0,3
national,0,3
leaders,0,3
,,
,,
how,0,2
often,0,2
did,0,2
nicole,0,2
kidman,1,2
marry,0,2
,,
,,
give,0,7
me,0,7
all,0,7
australian,0,7
nonprofit,0,7
organizations,0,7
,,
,,
in,0,2
which,0,2
military,0,2
conflicts,0,2
did,0,2
lawrence,0,2
of,0,2
arabia,0,2
participate,0,2
,,
,,
who,0,2
developed,0,2
skype,1,2
,,
,,
how,0,2
many,0,2
inhabitants,0,2
does,0,2
maribor,1,2
have,0,2
,,
,,
give,0,7
me,0,7
all,0,7
companies,0,7
in,0,7
munich,0,7
,,
,,
list,0,2
all,0,2
boardgames,0,2
by,0,2
gmt,0,2
,,
,,
who,0,2
founded,0,2
intel,1,2
,,
,,
who,0,2
is,0,2
the,0,2
husband,0,2
of,0,2
amanda,0,2
palmer,0,2
,,
,,
give,0,2
me,0,2
all,0,2
breeds,0,2
of,0,2
the,0,2
german,0,2
shepherd,0,2
dog,0,2
,,
,,
which,0,2
cities,0,2
does,0,2
the,0,2
weser,1,2
flow,0,2
through,0,2
,,
,,
which,0,2
countries,0,2
are,0,2
connected,0,2
by,0,2
the,0,2
rhine,1,2
,,
,,
which,0,4
professional,0,4
surfers,0,4
were,0,4
born,0,4
on,0,4
the,0,4
philippines,1,4
,,
,,
in,0,4
which,0,4
uk,0,4
city,0,4
are,0,4
the,0,4
headquarters,0,4
of,0,4
the,0,4
mi6,1,4
,,
,,
which,0,5
other,0,5
weapons,0,5
did,0,5
the,0,5
designer,0,5
of,0,5
the,0,5
uzi,2,5
develop,0,5
,,
,,
was,0,4
the,0,4
cuban,2,4
missile,0,4
crisis,0,4
earlier,0,4
than,0,4
the,0,4
bay,0,4
of,0,4
pigs,1,4
invasion,0,4
,,
,,
give,0,3
me,0,3
all,0,3
frisian,0,3
islands,0,3
that,0,3
belong,0,3
to,0,3
the,0,3
netherlands,0,3
,,
,,
what,0,2
is,0,2
the,0,2
ruling,0,2
party,0,2
in,0,2
lisbon,1,2
,,
,,
what,0,2
are,0,2
the,0,2
nicknames,0,2
of,0,2
san,0,2
francisco,0,2
,,
,,
which,0,3
greek,0,3
goddesses,0,3
dwelt,0,3
on,0,3
mount,0,3
olympus,0,3
,,
,,
when,0,2
were,0,2
the,0,2
hells,0,2
angels,0,2
founded,0,2
,,
,,
give,0,2
me,0,2
the,0,2
apollo,0,2
14,0,2
astronauts,0,2
,,
,,
what,0,2
is,0,2
the,0,2
time,0,2
zone,0,2
of,0,2
salt,0,2
lake,0,2
city,0,2
,,
,,
which,0,5
u.s.,0,5
states,0,5
are,0,5
in,0,5
the,0,5
same,0,5
timezone,0,5
as,0,5
utah,0,5
,,
,,
give,0,4
me,0,4
a,0,4
list,0,4
of,0,4
all,0,4
lakes,0,4
in,0,4
denmark,1,4
,,
,,
how,0,1
many,0,1
space,0,1
missions,0,1
have,0,1
there,0,1
been,0,1
,,
,,
did,0,3
socrates,1,3
influence,0,3
aristotle,2,3
,,
,,
give,0,5
me,0,5
all,0,5
argentine,0,5
films,0,5
,,
,,
give,0,3
me,0,3
all,0,3
launch,0,3
pads,0,3
operated,0,3
by,0,3
nasa,0,3
,,
,,
which,0,2
instruments,0,2
did,0,2
john,0,2
lennon,0,2
play,0,2
,,
,,
which,0,2
ships,0,2
were,0,2
called,0,2
after,0,2
benjamin,0,2
franklin,0,2
,,
,,
who,0,3
are,0,3
the,0,3
parents,0,3
of,0,3
the,0,3
wife,0,3
of,0,3
juan,0,3
carlos,0,3
i,0,3
,,
,,
how,0,2
many,0,2
employees,0,2
does,0,2
google,1,2
have,0,2
,,
,,
did,0,3
tesla,1,3
win,0,3
a,0,3
nobel,0,3
prize,0,3
in,0,3
physics,0,3
,,
,,
is,0,3
michelle,0,3
obama,2,3
the,0,3
wife,0,3
of,0,3
barack,1,3
obama,2,3
,,
,,
when,0,2
was,0,2
the,0,2
statue,1,2
of,0,2
liberty,0,2
built,0,2
,,
,,
in,0,4
which,0,4
u.s.,0,4
state,0,4
is,0,4
area,0,4
51,0,4
located,0,4
,,
,,
how,0,2
many,0,2
children,0,2
did,0,2
benjamin,0,2
franklin,0,2
have,0,2
,,
,,
when,0,2
did,0,2
michael,0,2
jackson,0,2
die,0,2
,,
,,
which,0,3
daughters,0,3
of,0,3
british,0,3
earls,0,3
died,0,3
in,0,3
the,0,3
same,0,3
place,0,3
they,0,3
were,0,3
born,0,3
in,0,3
,,
,,
list,0,2
the,0,2
children,0,2
of,0,2
margaret,0,2
thatcher,1,2
,,
,,
who,0,2
was,0,2
called,0,2
scarface,0,2
,,
,,
was,0,3
margaret,0,3
thatcher,1,3
a,0,3
chemist,0,3
,,
,,
was,0,2
dutch,0,2
schultz,0,2
a,0,2
jew,0,2
,,
,,
give,0,4
me,0,4
all,0,4
books,0,4
by,0,4
william,0,4
goldman,1,4
with,0,4
more,0,4
than,0,4
300,0,4
pages,0,4
,,
,,
which,0,5
books,0,5
by,0,5
kerouac,0,5
were,0,5
published,0,5
by,0,5
viking,0,5
press,0,5
,,
,,
give,0,1
me,0,1
a,0,1
list,0,1
of,0,1
all,0,1
american,0,1
inventions,0,1
,,
,,
how,0,2
high,0,2
is,0,2
the,0,2
mount,0,2
everest,1,2
,,
,,
who,0,2
created,0,2
the,0,2
comic,0,2
captain,0,2
america,0,2
,,
,,
how,0,3
many,0,3
people,0,3
live,0,3
in,0,3
the,0,3
capital,0,3
of,0,3
australia,0,3
,,
,,
what,0,2
is,0,2
the,0,2
largest,0,2
city,0,2
in,0,2
australia,0,2
,,
,,
who,0,2
composed,0,2
the,0,2
music,0,2
for,0,2
harold,0,2
and,0,2
maude,1,2
,,
,,
which,0,4
films,0,4
starring,0,4
clint,0,4
eastwood,0,4
did,0,4
he,0,4
direct,0,4
himself,0,4
,,
,,
in,0,3
which,0,3
city,0,3
was,0,3
the,0,3
former,0,3
dutch,0,3
queen,0,3
juliana,1,3
buried,0,3
,,
,,
where,0,2
is,0,2
the,0,2
residence,0,2
of,0,2
the,0,2
prime,0,2
minister,0,2
of,0,2
spain,0,2
,,
,,
which,0,2
u.s.,0,2
state,0,2
has,0,2
the,0,2
abbreviation,0,2
mn,0,2
,,
,,
show,0,4
me,0,4
all,0,4
songs,0,4
from,0,4
bruce,0,4
springsteen,1,4
released,0,4
between,0,4
1980,0,4
and,0,4
1990,0,4
,,
,,
which,0,7
movies,0,7
did,0,7
